Country Name,Country Code,UrbanPop
Sao Tome and Principe,STP,157941
Suriname,SUR,396769
Slovak Republic,SVK,2930459
Slovenia,SVN,1144894
Sweden,SWE,9015406
Eswatini,SWZ,280485
Sint Maarten (Dutch part),SXM,41608
Seychelles,SYC,55762
Syrian Arab Republic,SYR,11018062
Turks and Caicos Islands,TCA,40219
Chad,TCD,3754173
East Asia & Pacific (IDA & IBRD countries),TEA,1175966169
Europe & Central Asia (IDA & IBRD countries),TEC,305337118
Togo,TGO,3482542
Thailand,THA,36147331
Tajikistan,TJK,2549842
Turkmenistan,TKM,3205334
Latin America & the Caribbean (IDA & IBRD countries),TLA,509355722
Timor-Leste,TLS,396257
Middle East & North Africa (IDA & IBRD countries),TMN,246022378
Tonga,TON,24251
South Asia (IDA & IBRD),TSA,641220797
Sub-Saharan Africa (IDA & IBRD countries),TSS,457135236
Trinidad and Tobago,TTO,808418
Tunisia,TUN,8344632
Turkiye,TUR,63137198
Tuvalu,TUV,6926
Tanzania,TZA,20656040
Uganda,UGA,10462825
Ukraine,UKR,30836427
Upper middle income,UMC,1658181075
Uruguay,URY,3271594
United States,USA,270737596
Uzbekistan,UZB,16935578
St. Vincent and the Grenadines,VCT,55205
"Venezuela, RB",VEN,25564613
British Virgin Islands,VGB,14728
Virgin Islands (U.S.),VIR,102223
Vietnam,VNM,35081096
Vanuatu,VUT,77300
World,WLD,4306260787
Samoa,WSM,38262
Kosovo,XKX,
"Yemen, Rep.",YEM,11758398
South Africa,ZAF,38834681
Zambia,ZMB,8100644
Zimbabwe,ZWE,4945719
Taiwan,TWN,8662493
