"FemaleLeader","DeathsPerMil","TotalDeaths","TotalCases","CasesPerMil","SDCases","SDDeaths","SampleSize","SDDeathMil","SDCasesMil"
0,49.3993218390805,1900.09770114943,26257.9310344828,993.102298850575,NA,NA,174,145.692306939457,2204.39822500392
1,66.5035909090909,961,16747.8181818182,1354.84686363636,NA,NA,22,166.652654760235,1700.55864852758
